t,action,id,from,to
414,1,525-521-128,525-521,128
415,0,526-78-130,526-78,130
415,0,526-78-526,526-78,526
415,0,526-78-78,526-78,78
416,1,526-78-526,526-78,526
416,1,526-78-78,526-78,78
416,1,526-78-130,526-78,130
417,0,526-84-131,526-84,131
417,0,526-84-526,526-84,526
417,0,526-84-84,526-84,84
418,1,526-84-526,526-84,526
418,1,526-84-84,526-84,84
418,1,526-84-131,526-84,131
419,0,47-84-132,47-84,132
419,0,47-84-47,47-84,47
419,0,47-84-84,47-84,84
420,1,47-84-47,47-84,47
420,1,47-84-84,47-84,84
420,1,47-84-132,47-84,132
421,0,49-65-134,49-65,134
421,0,49-65-49,49-65,49
421,0,49-65-65,49-65,65
422,1,49-65-49,49-65,49
422,1,49-65-65,49-65,65
422,1,49-65-134,49-65,134
423,0,527-161-173,527-161,173
423,0,527-161-527,527-161,527
423,0,527-161-161,527-161,161
424,1,527-161-527,527-161,527
424,1,527-161-161,527-161,161
424,1,527-161-173,527-161,173
425,0,525-65-527,525-65,527
425,0,525-65-525,525-65,525
425,0,525-65-65,525-65,65
426,1,8-521-8,8-521,8
426,1,8-521-521,8-521,521
426,1,8-521-527,8-521,527
427,0,103-529-198,103-529,198
427,0,103-529-103,103-529,103
427,0,103-529-529,103-529,529
428,1,103-529-103,103-529,103
428,1,103-529-529,103-529,529
428,1,103-529-198,103-529,198
429,0,43-58-529,43-58,529
429,0,43-58-43,43-58,43
429,0,43-58-58,43-58,58
430,1,43-58-43,43-58,43
430,1,43-58-58,43-58,58
430,1,43-58-529,43-58,529
431,0,109-530-178,109-530,178
431,0,109-530-109,109-530,109
431,0,109-530-530,109-530,530
432,1,109-530-109,109-530,109
432,1,109-530-530,109-530,530
432,1,109-530-178,109-530,178
433,0,11-88-530,11-88,530
433,0,11-88-11,11-88,11
433,0,11-88-88,11-88,88
434,1,11-88-11,11-88,11
434,1,11-88-88,11-88,88
434,1,11-88-530,11-88,530
435,0,109-531-179,109-531,179
435,0,109-531-109,109-531,109
435,0,109-531-531,109-531,531
436,1,109-531-109,109-531,109
436,1,109-531-531,109-531,531
436,1,109-531-179,109-531,179
437,0,37-522-531,37-522,531
437,0,37-522-37,37-522,37
437,0,37-522-522,37-522,522
438,1,524-59-524,524-59,524
438,1,524-59-59,524-59,59
438,1,524-59-531,524-59,531
439,0,119-169-189,119-169,189
440,1,119-169-189,119-169,189
441,0,119-169-207,119-169,207
442,1,119-169-207,119-169,207
443,0,532-533-224,532-533,224
443,0,532-533-532,532-533,532
443,0,532-533-533,532-533,533
444,1,532-533-532,532-533,532
444,1,532-533-533,532-533,533
444,1,532-533-224,532-533,224
444,0,48-78-533,48-78,533
444,0,48-78-48,48-78,48
444,0,48-78-78,48-78,78
445,0,11-92-532,11-92,532
445,0,11-92-11,11-92,11
445,0,11-92-92,11-92,92
446,1,23-78-23,23-78,23
446,1,23-78-78,23-78,78
446,1,23-78-532,23-78,532
448,1,48-65-48,48-65,48
448,1,48-65-65,48-65,65
448,1,48-65-533,48-65,533
449,0,510-87-100,510-87,100
449,0,510-87-510,510-87,510
449,0,510-87-87,510-87,87
450,1,510-87-510,510-87,510
450,1,510-87-87,510-87,87
450,1,510-87-100,510-87,100
451,0,1-92-102,1-92,102
452,1,1-92-102,1-92,102
453,0,1-92-135,1-92,135
454,1,1-92-135,1-92,135
455,0,2-534-103,2-534,103
455,0,2-534-2,2-534,2
455,0,2-534-534,2-534,534
456,1,2-534-2,2-534,2
456,1,2-534-534,2-534,534
456,1,2-534-103,2-534,103
457,0,512-84-105,512-84,105
457,0,512-84-512,512-84,512
457,0,512-84-84,512-84,84
458,1,537-84-105,537-84,105
459,0,537-84-137,537-84,137
460,1,537-84-137,537-84,137
461,0,535-72-139,535-72,139
461,0,535-72-535,535-72,535
461,0,535-72-72,535-72,72
462,1,517-72-517,517-72,517
462,1,517-72-72,517-72,72
462,1,517-72-139,517-72,139
463,0,535-513-107,535-513,107
463,0,535-513-535,535-513,535
463,0,535-513-513,535-513,513
464,1,528-513-528,528-513,528
464,1,528-513-513,528-513,513
464,1,528-513-107,528-513,107
465,0,523-61-141,523-61,141
465,0,523-61-523,523-61,523
465,0,523-61-61,523-61,61
466,1,523-61-523,523-61,523
466,1,523-61-61,523-61,61
466,1,523-61-141,523-61,141
467,0,6-87-108,6-87,108
467,0,6-87-6,6-87,6
467,0,6-87-87,6-87,87
468,1,6-87-6,6-87,6
468,1,6-87-87,6-87,87
468,1,6-87-108,6-87,108
469,0,6-85-109,6-85,109
469,0,6-85-6,6-85,6
469,0,6-85-85,6-85,85
470,1,6-85-6,6-85,6
470,1,6-85-85,6-85,85
470,1,6-85-109,6-85,109
471,0,13-74-110,13-74,110
471,0,13-74-13,13-74,13
471,0,13-74-74,13-74,74
472,1,13-74-13,13-74,13
472,1,13-74-74,13-74,74
472,1,13-74-110,13-74,110
473,0,13-70-144,13-70,144
473,0,13-70-13,13-70,13
473,0,13-70-70,13-70,70
474,1,13-70-13,13-70,13
474,1,13-70-70,13-70,70
474,1,13-70-144,13-70,144
475,0,13-62-146,13-62,146
475,0,13-62-13,13-62,13
475,0,13-62-62,13-62,62
476,1,13-62-13,13-62,13
476,1,13-62-62,13-62,62
476,1,13-62-146,13-62,146
477,0,15-515-111,15-515,111
477,0,15-515-15,15-515,15
477,0,15-515-515,15-515,515
478,1,15-512-15,15-512,15
478,1,15-512-512,15-512,512
478,1,15-512-111,15-512,111
479,0,517-511-148,517-511,148
480,1,517-511-148,517-511,148
481,0,517-511-113,517-511,113
482,1,517-511-113,517-511,113
483,0,518-50-152,518-50,152
483,0,518-50-518,518-50,518
483,0,518-50-50,518-50,50
484,1,518-50-518,518-50,518
484,1,518-50-50,518-50,50
484,1,518-50-152,518-50,152
485,0,26-519-153,26-519,153
485,0,26-519-26,26-519,26
485,0,26-519-519,26-519,519
486,1,26-519-26,26-519,26
486,1,26-519-519,26-519,519
486,1,26-519-153,26-519,153
487,0,26-92-154,26-92,154
487,0,26-92-26,26-92,26
487,0,26-92-92,26-92,92
488,1,26-92-26,26-92,26
488,1,26-92-92,26-92,92
488,1,26-92-154,26-92,154
489,0,13-520-155,13-520,155
489,0,13-520-13,13-520,13
489,0,13-520-520,13-520,520
490,1,528-520-528,528-520,528
490,1,528-520-520,528-520,520
490,1,528-520-155,528-520,155
491,0,30-514-157,30-514,157
491,0,30-514-30,30-514,30
491,0,30-514-514,30-514,514
492,1,30-515-157,30-515,157
493,0,30-515-116,30-515,116
494,1,30-512-30,30-512,30
494,1,30-512-512,30-512,512
494,1,30-512-116,30-512,116
495,0,30-511-118,30-511,118
495,0,30-511-30,30-511,30
495,0,30-511-511,30-511,511
496,1,30-511-30,30-511,30
496,1,30-511-511,30-511,511
496,1,30-511-118,30-511,118
497,0,30-87-158,30-87,158
498,1,30-87-158,30-87,158
499,0,30-87-159,30-87,159
500,1,30-87-159,30-87,159
501,0,535-536-160,535-536,160
501,0,535-536-535,535-536,535
501,0,535-536-536,535-536,536
502,1,536-72-536,536-72,536
502,1,536-72-72,536-72,72
502,1,536-72-160,536-72,160
503,0,13-519-161,13-519,161
503,0,13-519-13,13-519,13
503,0,13-519-519,13-519,519
504,1,528-519-528,528-519,528
504,1,528-519-519,528-519,519
504,1,528-519-161,528-519,161
505,0,528-66-162,528-66,162
505,0,528-66-528,528-66,528
505,0,528-66-66,528-66,66
506,1,528-66-528,528-66,528
506,1,528-66-66,528-66,66
506,1,528-66-162,528-66,162
507,0,33-56-119,33-56,119
508,1,33-56-119,33-56,119
509,0,33-56-120,33-56,120
510,1,33-56-120,33-56,120
511,0,34-98-121,34-98,121
511,0,34-98-34,34-98,34
511,0,34-98-98,34-98,98
512,1,34-98-34,34-98,34
512,1,34-98-98,34-98,98
512,1,34-98-121,34-98,121
513,0,34-85-164,34-85,164
513,0,34-85-34,34-85,34
513,0,34-85-85,34-85,85
514,1,34-85-34,34-85,34
514,1,34-85-85,34-85,85
514,1,34-85-164,34-85,164
515,0,510-73-122,510-73,122
515,0,510-73-510,510-73,510
515,0,510-73-73,510-73,73
516,1,510-73-510,510-73,510
516,1,510-73-73,510-73,73
516,1,510-73-122,510-73,122
517,0,39-65-124,39-65,124
517,0,39-65-39,39-65,39
517,0,39-65-65,39-65,65
518,1,39-65-39,39-65,39
518,1,39-65-65,39-65,65
518,1,39-65-124,39-65,124
519,0,524-79-125,524-79,125
520,1,524-79-125,524-79,125
521,0,524-79-127,524-79,127
522,1,524-79-127,524-79,127
523,0,525-521-169,525-521,169
524,1,525-521-169,525-521,169
525,0,525-521-128,525-521,128
526,1,525-521-128,525-521,128
527,0,526-78-130,526-78,130
527,0,526-78-526,526-78,526
527,0,526-78-78,526-78,78
528,1,526-78-526,526-78,526
528,1,526-78-78,526-78,78
528,1,526-78-130,526-78,130
529,0,526-84-131,526-84,131
529,0,526-84-526,526-84,526
529,0,526-84-84,526-84,84
530,1,526-84-526,526-84,526
530,1,526-84-84,526-84,84
530,1,526-84-131,526-84,131
531,0,47-84-132,47-84,132
531,0,47-84-47,47-84,47
531,0,47-84-84,47-84,84
532,1,47-84-47,47-84,47
532,1,47-84-84,47-84,84
532,1,47-84-132,47-84,132
533,0,49-65-134,49-65,134
533,0,49-65-49,49-65,49
533,0,49-65-65,49-65,65
534,1,49-65-49,49-65,49
534,1,49-65-65,49-65,65
534,1,49-65-134,49-65,134
535,0,527-161-173,527-161,173
535,0,527-161-527,527-161,527
535,0,527-161-161,527-161,161
536,1,527-161-527,527-161,527
536,1,527-161-161,527-161,161
536,1,527-161-173,527-161,173
537,0,8-521-527,8-521,527
537,0,8-521-8,8-521,8
537,0,8-521-521,8-521,521
538,1,8-521-8,8-521,8
538,1,8-521-521,8-521,521
538,1,8-521-527,8-521,527
539,0,103-529-198,103-529,198
539,0,103-529-103,103-529,103
539,0,103-529-529,103-529,529
540,1,103-529-103,103-529,103
540,1,103-529-529,103-529,529
540,1,103-529-198,103-529,198
541,0,43-58-529,43-58,529
541,0,43-58-43,43-58,43
541,0,43-58-58,43-58,58
542,1,43-58-43,43-58,43
542,1,43-58-58,43-58,58
542,1,43-58-529,43-58,529
543,0,109-530-178,109-530,178
543,0,109-530-109,109-530,109
543,0,109-530-530,109-530,530
544,1,109-530-109,109-530,109
544,1,109-530-530,109-530,530
544,1,109-530-178,109-530,178
545,0,11-88-530,11-88,530
545,0,11-88-11,11-88,11
545,0,11-88-88,11-88,88
546,1,11-88-11,11-88,11
546,1,11-88-88,11-88,88
546,1,11-88-530,11-88,530
547,0,109-531-179,109-531,179
547,0,109-531-109,109-531,109
547,0,109-531-531,109-531,531
548,1,109-531-109,109-531,109
548,1,109-531-531,109-531,531
548,1,109-531-179,109-531,179
549,0,524-59-531,524-59,531
549,0,524-59-524,524-59,524
549,0,524-59-59,524-59,59
550,1,535-89-535,535-89,535
550,1,535-89-89,535-89,89
550,1,535-89-531,535-89,531
551,0,119-169-189,119-169,189
552,1,119-169-189,119-169,189
553,0,119-169-207,119-169,207
554,1,119-169-207,119-169,207
555,0,532-533-224,532-533,224
555,0,532-533-532,532-533,532
555,0,532-533-533,532-533,533
556,1,532-533-532,532-533,532
556,1,532-533-533,532-533,533
556,1,532-533-224,532-533,224
556,0,48-65-533,48-65,533
556,0,48-65-48,48-65,48
556,0,48-65-65,48-65,65
557,0,23-78-532,23-78,532
557,0,23-78-23,23-78,23
557,0,23-78-78,23-78,78
558,1,13-90-13,13-90,13
558,1,13-90-90,13-90,90
558,1,13-90-532,13-90,532
560,1,514-78-514,514-78,514
560,1,514-78-78,514-78,78
560,1,514-78-533,514-78,533
561,0,510-87-100,510-87,100
561,0,510-87-510,510-87,510
561,0,510-87-87,510-87,87
562,1,510-87-510,510-87,510
562,1,510-87-87,510-87,87
562,1,510-87-100,510-87,100
563,0,1-92-102,1-92,102
564,1,1-92-102,1-92,102
565,0,1-92-135,1-92,135
566,1,1-92-135,1-92,135
567,0,2-534-103,2-534,103
567,0,2-534-2,2-534,2
567,0,2-534-534,2-534,534
568,1,2-534-2,2-534,2
568,1,2-534-534,2-534,534
568,1,2-534-103,2-534,103
569,0,537-84-105,537-84,105
570,1,537-84-105,537-84,105
571,0,537-84-137,537-84,137
572,1,537-84-137,537-84,137
573,0,517-72-139,517-72,139
573,0,517-72-517,517-72,517
573,0,517-72-72,517-72,72
574,1,517-72-517,517-72,517
574,1,517-72-72,517-72,72
574,1,517-72-139,517-72,139
575,0,528-513-107,528-513,107
575,0,528-513-528,528-513,528
575,0,528-513-513,528-513,513
576,1,517-513-517,517-513,517
576,1,517-513-513,517-513,513
576,1,517-513-107,517-513,107
577,0,523-61-141,523-61,141
577,0,523-61-523,523-61,523
577,0,523-61-61,523-61,61
578,1,523-61-523,523-61,523
578,1,523-61-61,523-61,61
578,1,523-61-141,523-61,141
579,0,6-87-108,6-87,108
579,0,6-87-6,6-87,6
579,0,6-87-87,6-87,87
580,1,6-87-6,6-87,6
580,1,6-87-87,6-87,87
580,1,6-87-108,6-87,108
581,0,6-85-109,6-85,109
581,0,6-85-6,6-85,6
581,0,6-85-85,6-85,85
582,1,6-85-6,6-85,6
582,1,6-85-85,6-85,85
582,1,6-85-109,6-85,109
583,0,13-74-110,13-74,110
583,0,13-74-13,13-74,13
583,0,13-74-74,13-74,74
584,1,13-74-13,13-74,13
584,1,13-74-74,13-74,74
584,1,13-74-110,13-74,110
585,0,13-70-144,13-70,144
585,0,13-70-13,13-70,13
585,0,13-70-70,13-70,70
586,1,13-70-13,13-70,13
586,1,13-70-70,13-70,70
586,1,13-70-144,13-70,144
587,0,13-62-146,13-62,146
587,0,13-62-13,13-62,13
587,0,13-62-62,13-62,62
588,1,13-62-13,13-62,13
588,1,13-62-62,13-62,62
588,1,13-62-146,13-62,146
589,0,15-512-111,15-512,111
589,0,15-512-15,15-512,15
589,0,15-512-512,15-512,512
590,1,15-522-15,15-522,15
590,1,15-522-522,15-522,522
590,1,15-522-111,15-522,111
591,0,517-511-148,517-511,148
592,1,517-511-148,517-511,148
593,0,517-511-113,517-511,113
594,1,517-511-113,517-511,113
595,0,518-50-152,518-50,152
595,0,518-50-518,518-50,518
595,0,518-50-50,518-50,50
596,1,518-50-518,518-50,518
596,1,518-50-50,518-50,50
596,1,518-50-152,518-50,152
597,0,26-519-153,26-519,153
597,0,26-519-26,26-519,26
597,0,26-519-519,26-519,519
598,1,26-519-26,26-519,26
598,1,26-519-519,26-519,519
598,1,26-519-153,26-519,153
599,0,26-92-154,26-92,154
599,0,26-92-26,26-92,26
599,0,26-92-92,26-92,92
600,1,26-92-26,26-92,26
600,1,26-92-92,26-92,92
600,1,26-92-154,26-92,154
601,0,528-520-155,528-520,155
601,0,528-520-528,528-520,528
601,0,528-520-520,528-520,520
602,1,528-520-528,528-520,528
602,1,528-520-520,528-520,520
602,1,528-520-155,528-520,155
603,0,30-515-157,30-515,157
603,0,30-515-30,30-515,30
603,0,30-515-515,30-515,515
604,1,30-512-157,30-512,157
605,0,30-512-116,30-512,116
606,1,30-515-30,30-515,30
606,1,30-515-515,30-515,515
606,1,30-515-116,30-515,116
607,0,30-511-118,30-511,118
607,0,30-511-30,30-511,30
607,0,30-511-511,30-511,511
608,1,30-511-30,30-511,30
608,1,30-511-511,30-511,511
608,1,30-511-118,30-511,118
609,0,30-87-158,30-87,158
610,1,30-87-158,30-87,158
611,0,30-87-159,30-87,159
612,1,30-87-159,30-87,159
613,0,536-72-160,536-72,160
613,0,536-72-536,536-72,536
613,0,536-72-72,536-72,72
614,1,536-511-536,536-511,536
614,1,536-511-511,536-511,511
614,1,536-511-160,536-511,160
615,0,528-519-161,528-519,161
615,0,528-519-528,528-519,528
615,0,528-519-519,528-519,519
616,1,528-519-528,528-519,528
616,1,528-519-519,528-519,519
616,1,528-519-161,528-519,161
617,0,528-66-162,528-66,162
617,0,528-66-528,528-66,528
617,0,528-66-66,528-66,66
618,1,528-66-528,528-66,528
618,1,528-66-66,528-66,66
618,1,528-66-162,528-66,162
619,0,33-56-119,33-56,119
620,1,33-56-119,33-56,119
621,0,33-56-120,33-56,120
622,1,33-56-120,33-56,120
623,0,34-98-121,34-98,121
623,0,34-98-34,34-98,34
623,0,34-98-98,34-98,98
624,1,34-98-34,34-98,34
624,1,34-98-98,34-98,98
624,1,34-98-121,34-98,121
625,0,34-85-164,34-85,164
625,0,34-85-34,34-85,34
625,0,34-85-85,34-85,85
626,1,34-85-34,34-85,34
626,1,34-85-85,34-85,85
626,1,34-85-164,34-85,164
627,0,510-73-122,510-73,122
627,0,510-73-510,510-73,510
627,0,510-73-73,510-73,73
628,1,510-73-510,510-73,510
628,1,510-73-73,510-73,73
628,1,510-73-122,510-73,122
629,0,39-65-124,39-65,124
629,0,39-65-39,39-65,39
629,0,39-65-65,39-65,65
630,1,39-65-39,39-65,39
630,1,39-65-65,39-65,65
630,1,39-65-124,39-65,124
631,0,524-79-125,524-79,125
632,1,524-79-125,524-79,125
633,0,524-79-127,524-79,127
634,1,524-79-127,524-79,127
635,0,525-521-169,525-521,169
636,1,525-521-169,525-521,169
637,0,525-521-128,525-521,128
638,1,525-521-128,525-521,128
639,0,526-78-130,526-78,130
639,0,526-78-526,526-78,526
639,0,526-78-78,526-78,78
640,1,526-78-526,526-78,526
640,1,526-78-78,526-78,78
640,1,526-78-130,526-78,130
641,0,526-84-131,526-84,131
641,0,526-84-526,526-84,526
641,0,526-84-84,526-84,84
642,1,526-84-526,526-84,526
642,1,526-84-84,526-84,84
642,1,526-84-131,526-84,131
643,0,47-84-132,47-84,132
643,0,47-84-47,47-84,47
643,0,47-84-84,47-84,84
644,1,47-84-47,47-84,47
644,1,47-84-84,47-84,84
644,1,47-84-132,47-84,132
645,0,49-65-134,49-65,134
645,0,49-65-49,49-65,49
645,0,49-65-65,49-65,65
646,1,49-65-49,49-65,49
646,1,49-65-65,49-65,65
646,1,49-65-134,49-65,134
647,0,527-161-173,527-161,173
647,0,527-161-527,527-161,527
647,0,527-161-161,527-161,161
648,1,527-161-527,527-161,527
648,1,527-161-161,527-161,161
648,1,527-161-173,527-161,173
649,0,8-521-527,8-521,527
649,0,8-521-8,8-521,8
649,0,8-521-521,8-521,521
650,1,8-521-8,8-521,8
650,1,8-521-521,8-521,521
650,1,8-521-527,8-521,527
651,0,103-529-198,103-529,198
651,0,103-529-103,103-529,103
651,0,103-529-529,103-529,529
652,1,103-529-103,103-529,103
652,1,103-529-529,103-529,529
652,1,103-529-198,103-529,198
653,0,43-58-529,43-58,529
653,0,43-58-43,43-58,43
653,0,43-58-58,43-58,58
654,1,535-58-535,535-58,535
654,1,535-58-58,535-58,58
654,1,535-58-529,535-58,529
655,0,109-530-178,109-530,178
655,0,109-530-109,109-530,109
655,0,109-530-530,109-530,530
656,1,109-530-109,109-530,109
656,1,109-530-530,109-530,530
656,1,109-530-178,109-530,178
657,0,11-88-530,11-88,530
657,0,11-88-11,11-88,11
657,0,11-88-88,11-88,88
658,1,13-80-13,13-80,13
658,1,13-80-80,13-80,80
658,1,13-80-530,13-80,530
659,0,109-531-179,109-531,179
659,0,109-531-109,109-531,109
659,0,109-531-531,109-531,531
660,1,109-531-109,109-531,109
660,1,109-531-531,109-531,531
660,1,109-531-179,109-531,179
661,0,535-89-531,535-89,531
661,0,535-89-535,535-89,535
661,0,535-89-89,535-89,89
662,1,524-89-524,524-89,524
662,1,524-89-89,524-89,89
662,1,524-89-531,524-89,531
663,0,119-169-189,119-169,189
664,1,119-169-189,119-169,189
665,0,119-169-207,119-169,207
666,1,119-169-207,119-169,207
667,0,532-533-224,532-533,224
667,0,532-533-532,532-533,532
667,0,532-533-533,532-533,533
668,1,532-533-532,532-533,532
668,1,532-533-533,532-533,533
668,1,532-533-224,532-533,224
668,0,514-78-533,514-78,533
668,0,514-78-514,514-78,514
668,0,514-78-78,514-78,78
669,0,13-90-532,13-90,532
669,0,13-90-13,13-90,13
669,0,13-90-90,13-90,90
670,1,514-71-514,514-71,514
670,1,514-71-71,514-71,71
670,1,514-71-532,514-71,532
672,1,48-65-48,48-65,48
672,1,48-65-65,48-65,65
672,1,48-65-533,48-65,533
673,0,510-87-100,510-87,100
673,0,510-87-510,510-87,510
673,0,510-87-87,510-87,87
674,1,510-87-510,510-87,510
674,1,510-87-87,510-87,87
674,1,510-87-100,510-87,100
675,0,1-92-102,1-92,102
676,1,1-92-102,1-92,102
677,0,1-92-135,1-92,135
678,1,1-92-135,1-92,135
679,0,2-534-103,2-534,103
679,0,2-534-2,2-534,2
679,0,2-534-534,2-534,534
680,1,2-534-2,2-534,2
680,1,2-534-534,2-534,534
680,1,2-534-103,2-534,103
681,0,537-84-105,537-84,105
682,1,537-84-105,537-84,105
683,0,537-84-137,537-84,137
684,1,537-84-137,537-84,137
685,0,517-72-139,517-72,139
685,0,517-72-517,517-72,517
685,0,517-72-72,517-72,72
686,1,517-72-517,517-72,517
686,1,517-72-72,517-72,72
686,1,517-72-139,517-72,139
687,0,517-513-107,517-513,107
687,0,517-513-517,517-513,517
687,0,517-513-513,517-513,513
688,1,536-513-536,536-513,536
688,1,536-513-513,536-513,513
688,1,536-513-107,536-513,107
689,0,523-61-141,523-61,141
689,0,523-61-523,523-61,523
689,0,523-61-61,523-61,61
690,1,523-61-523,523-61,523
690,1,523-61-61,523-61,61
690,1,523-61-141,523-61,141
691,0,6-87-108,6-87,108
691,0,6-87-6,6-87,6
691,0,6-87-87,6-87,87
692,1,6-87-6,6-87,6
692,1,6-87-87,6-87,87
692,1,6-87-108,6-87,108
693,0,6-85-109,6-85,109
693,0,6-85-6,6-85,6
693,0,6-85-85,6-85,85
694,1,6-85-6,6-85,6
694,1,6-85-85,6-85,85
694,1,6-85-109,6-85,109
695,0,13-74-110,13-74,110
695,0,13-74-13,13-74,13
695,0,13-74-74,13-74,74
696,1,13-74-13,13-74,13
696,1,13-74-74,13-74,74
696,1,13-74-110,13-74,110
697,0,13-70-144,13-70,144
697,0,13-70-13,13-70,13
697,0,13-70-70,13-70,70
698,1,13-70-13,13-70,13
698,1,13-70-70,13-70,70
698,1,13-70-144,13-70,144
699,0,13-62-146,13-62,146
699,0,13-62-13,13-62,13
699,0,13-62-62,13-62,62
700,1,13-62-13,13-62,13
700,1,13-62-62,13-62,62
700,1,13-62-146,13-62,146
701,0,15-522-111,15-522,111
701,0,15-522-15,15-522,15
701,0,15-522-522,15-522,522
702,1,15-522-15,15-522,15
702,1,15-522-522,15-522,522
702,1,15-522-111,15-522,111
703,0,517-511-148,517-511,148
704,1,517-511-148,517-511,148
705,0,517-511-113,517-511,113
706,1,517-511-113,517-511,113
707,0,518-50-152,518-50,152
707,0,518-50-518,518-50,518
707,0,518-50-50,518-50,50
708,1,518-50-518,518-50,518
708,1,518-50-50,518-50,50
708,1,518-50-152,518-50,152
709,0,26-519-153,26-519,153
709,0,26-519-26,26-519,26
709,0,26-519-519,26-519,519
710,1,26-538-26,26-538,26
710,1,26-538-538,26-538,538
710,1,26-538-153,26-538,153
711,0,26-92-154,26-92,154
711,0,26-92-26,26-92,26
711,0,26-92-92,26-92,92
712,1,26-92-26,26-92,26
712,1,26-92-92,26-92,92
712,1,26-92-154,26-92,154
713,0,528-520-155,528-520,155
713,0,528-520-528,528-520,528
713,0,528-520-520,528-520,520
714,1,523-520-523,523-520,523
714,1,523-520-520,523-520,520
714,1,523-520-155,523-520,155
715,0,30-512-157,30-512,157
715,0,30-512-30,30-512,30
715,0,30-512-512,30-512,512
716,1,30-512-30,30-512,30
716,1,30-512-512,30-512,512
716,1,30-512-157,30-512,157
717,0,30-515-116,30-515,116
717,0,30-515-30,30-515,30
717,0,30-515-515,30-515,515
718,1,30-522-30,30-522,30
718,1,30-522-522,30-522,522
718,1,30-522-116,30-522,116
719,0,30-511-118,30-511,118
719,0,30-511-30,30-511,30
719,0,30-511-511,30-511,511
720,1,30-511-30,30-511,30
720,1,30-511-511,30-511,511
720,1,30-511-118,30-511,118
721,0,30-87-158,30-87,158
722,1,30-87-158,30-87,158
723,0,30-87-159,30-87,159
724,1,30-87-159,30-87,159
725,0,536-511-160,536-511,160
725,0,536-511-536,536-511,536
725,0,536-511-511,536-511,511
726,1,515-519-515,515-519,515
726,1,515-519-519,515-519,519
726,1,515-519-160,515-519,160
727,0,528-519-161,528-519,161
727,0,528-519-528,528-519,528
727,0,528-519-519,528-519,519
728,1,528-538-528,528-538,528
728,1,528-538-538,528-538,538
728,1,528-538-161,528-538,161
729,0,528-66-162,528-66,162
729,0,528-66-528,528-66,528
729,0,528-66-66,528-66,66
730,1,528-66-528,528-66,528
730,1,528-66-66,528-66,66
730,1,528-66-162,528-66,162
731,0,33-56-119,33-56,119
732,1,33-56-119,33-56,119
733,0,33-56-120,33-56,120
734,1,33-56-120,33-56,120
735,0,34-98-121,34-98,121
735,0,34-98-34,34-98,34
735,0,34-98-98,34-98,98
736,1,34-98-34,34-98,34
736,1,34-98-98,34-98,98
736,1,34-98-121,34-98,121
737,0,34-85-164,34-85,164
737,0,34-85-34,34-85,34
737,0,34-85-85,34-85,85
738,1,34-85-34,34-85,34
738,1,34-85-85,34-85,85
738,1,34-85-164,34-85,164
739,0,510-73-122,510-73,122
739,0,510-73-510,510-73,510
739,0,510-73-73,510-73,73
740,1,510-73-510,510-73,510
740,1,510-73-73,510-73,73
740,1,510-73-122,510-73,122
741,0,39-65-124,39-65,124
741,0,39-65-39,39-65,39
741,0,39-65-65,39-65,65
742,1,39-65-39,39-65,39
742,1,39-65-65,39-65,65
742,1,39-65-124,39-65,124
743,0,524-79-125,524-79,125
744,1,524-79-125,524-79,125
745,0,524-79-127,524-79,127
746,1,524-79-127,524-79,127
747,0,525-521-169,525-521,169
748,1,525-521-169,525-521,169
749,0,525-521-128,525-521,128
750,1,525-521-128,525-521,128
751,0,526-78-130,526-78,130
751,0,526-78-526,526-78,526
751,0,526-78-78,526-78,78
752,1,526-78-526,526-78,526
752,1,526-78-78,526-78,78
752,1,526-78-130,526-78,130
753,0,526-84-131,526-84,131
753,0,526-84-526,526-84,526
753,0,526-84-84,526-84,84
754,1,526-84-526,526-84,526
754,1,526-84-84,526-84,84
754,1,526-84-131,526-84,131
755,0,47-84-132,47-84,132
755,0,47-84-47,47-84,47
755,0,47-84-84,47-84,84
756,1,47-84-47,47-84,47
756,1,47-84-84,47-84,84
756,1,47-84-132,47-84,132
757,0,49-65-134,49-65,134
757,0,49-65-49,49-65,49
757,0,49-65-65,49-65,65
758,1,49-65-49,49-65,49
758,1,49-65-65,49-65,65
758,1,49-65-134,49-65,134
759,0,527-161-173,527-161,173
759,0,527-161-527,527-161,527
759,0,527-161-161,527-161,161
760,1,527-161-527,527-161,527
760,1,527-161-161,527-161,161
760,1,527-161-173,527-161,173
761,0,8-521-527,8-521,527
761,0,8-521-8,8-521,8
761,0,8-521-521,8-521,521
762,1,8-521-8,8-521,8
762,1,8-521-521,8-521,521
762,1,8-521-527,8-521,527
763,0,103-529-198,103-529,198
763,0,103-529-103,103-529,103
763,0,103-529-529,103-529,529
764,1,103-529-103,103-529,103
764,1,103-529-529,103-529,529
764,1,103-529-198,103-529,198
765,0,535-58-529,535-58,529
765,0,535-58-535,535-58,535
765,0,535-58-58,535-58,58
766,1,43-58-43,43-58,43
766,1,43-58-58,43-58,58
766,1,43-58-529,43-58,529
767,0,109-530-178,109-530,178
767,0,109-530-109,109-530,109
767,0,109-530-530,109-530,530
768,1,109-530-109,109-530,109
768,1,109-530-530,109-530,530
768,1,109-530-178,109-530,178
769,0,13-80-530,13-80,530
769,0,13-80-13,13-80,13
769,0,13-80-80,13-80,80
770,1,38-59-38,38-59,38
770,1,38-59-59,38-59,59
770,1,38-59-530,38-59,530
771,0,109-531-179,109-531,179
771,0,109-531-109,109-531,109
771,0,109-531-531,109-531,531
