t,action,id,from,to
132,1,6-87-6,6-87,6
132,1,6-87-87,6-87,87
132,1,6-87-108,6-87,108
133,0,6-85-109,6-85,109
133,0,6-85-6,6-85,6
133,0,6-85-85,6-85,85
134,1,6-85-6,6-85,6
134,1,6-85-85,6-85,85
134,1,6-85-109,6-85,109
135,0,13-74-110,13-74,110
135,0,13-74-13,13-74,13
135,0,13-74-74,13-74,74
136,1,13-74-13,13-74,13
136,1,13-74-74,13-74,74
136,1,13-74-110,13-74,110
137,0,13-70-144,13-70,144
137,0,13-70-13,13-70,13
137,0,13-70-70,13-70,70
138,1,13-70-13,13-70,13
138,1,13-70-70,13-70,70
138,1,13-70-144,13-70,144
139,0,13-62-146,13-62,146
139,0,13-62-13,13-62,13
139,0,13-62-62,13-62,62
140,1,13-62-13,13-62,13
140,1,13-62-62,13-62,62
140,1,13-62-146,13-62,146
141,0,15-516-111,15-516,111
141,0,15-516-15,15-516,15
141,0,15-516-516,15-516,516
142,1,15-536-15,15-536,15
142,1,15-536-536,15-536,536
142,1,15-536-111,15-536,111
143,0,517-511-148,517-511,148
144,1,517-511-148,517-511,148
145,0,517-511-113,517-511,113
146,1,517-511-113,517-511,113
147,0,518-50-152,518-50,152
147,0,518-50-518,518-50,518
147,0,518-50-50,518-50,50
148,1,518-50-518,518-50,518
148,1,518-50-50,518-50,50
148,1,518-50-152,518-50,152
149,0,26-519-153,26-519,153
149,0,26-519-26,26-519,26
149,0,26-519-519,26-519,519
150,1,26-519-26,26-519,26
150,1,26-519-519,26-519,519
150,1,26-519-153,26-519,153
151,0,26-92-154,26-92,154
151,0,26-92-26,26-92,26
151,0,26-92-92,26-92,92
152,1,26-92-26,26-92,26
152,1,26-92-92,26-92,92
152,1,26-92-154,26-92,154
153,0,13-520-155,13-520,155
153,0,13-520-13,13-520,13
153,0,13-520-520,13-520,520
154,1,13-520-13,13-520,13
154,1,13-520-520,13-520,520
154,1,13-520-155,13-520,155
155,0,30-521-157,30-521,157
155,0,30-521-30,30-521,30
155,0,30-521-521,30-521,521
156,1,30-537-30,30-537,30
156,1,30-537-537,30-537,537
156,1,30-537-157,30-537,157
157,0,30-516-116,30-516,116
157,0,30-516-30,30-516,30
157,0,30-516-516,30-516,516
158,1,30-536-30,30-536,30
158,1,30-536-536,30-536,536
158,1,30-536-116,30-536,116
159,0,30-522-118,30-522,118
159,0,30-522-30,30-522,30
159,0,30-522-522,30-522,522
160,1,30-511-30,30-511,30
160,1,30-511-511,30-511,511
160,1,30-511-118,30-511,118
161,0,30-87-158,30-87,158
162,1,30-87-158,30-87,158
163,0,30-87-159,30-87,159
164,1,30-87-159,30-87,159
165,0,523-522-160,523-522,160
165,0,523-522-523,523-522,523
165,0,523-522-522,523-522,522
166,1,522-523-522,522-523,522
166,1,522-523-523,522-523,523
166,1,522-523-160,522-523,160
167,0,13-519-161,13-519,161
167,0,13-519-13,13-519,13
167,0,13-519-519,13-519,519
168,1,13-519-13,13-519,13
168,1,13-519-519,13-519,519
168,1,13-519-161,13-519,161
169,0,13-55-162,13-55,162
169,0,13-55-13,13-55,13
169,0,13-55-55,13-55,55
170,1,13-55-13,13-55,13
170,1,13-55-55,13-55,55
170,1,13-55-162,13-55,162
171,0,33-56-119,33-56,119
172,1,33-56-119,33-56,119
173,0,33-56-120,33-56,120
174,1,33-56-120,33-56,120
175,0,34-98-121,34-98,121
175,0,34-98-34,34-98,34
175,0,34-98-98,34-98,98
176,1,34-98-34,34-98,34
176,1,34-98-98,34-98,98
176,1,34-98-121,34-98,121
177,0,34-85-164,34-85,164
177,0,34-85-34,34-85,34
177,0,34-85-85,34-85,85
178,1,34-85-34,34-85,34
178,1,34-85-85,34-85,85
178,1,34-85-164,34-85,164
179,0,510-73-122,510-73,122
179,0,510-73-510,510-73,510
179,0,510-73-73,510-73,73
180,1,510-73-510,510-73,510
180,1,510-73-73,510-73,73
180,1,510-73-122,510-73,122
181,0,39-65-124,39-65,124
181,0,39-65-39,39-65,39
181,0,39-65-65,39-65,65
182,1,39-65-39,39-65,39
182,1,39-65-65,39-65,65
182,1,39-65-124,39-65,124
183,0,524-79-125,524-79,125
184,1,524-79-125,524-79,125
185,0,524-79-127,524-79,127
186,1,524-79-127,524-79,127
187,0,525-521-169,525-521,169
188,1,525-521-169,525-521,169
189,0,525-521-128,525-521,128
190,1,525-521-128,525-521,128
191,0,526-78-130,526-78,130
191,0,526-78-526,526-78,526
191,0,526-78-78,526-78,78
192,1,526-78-526,526-78,526
192,1,526-78-78,526-78,78
192,1,526-78-130,526-78,130
193,0,526-84-131,526-84,131
193,0,526-84-526,526-84,526
193,0,526-84-84,526-84,84
194,1,526-84-526,526-84,526
194,1,526-84-84,526-84,84
194,1,526-84-131,526-84,131
195,0,47-84-132,47-84,132
195,0,47-84-47,47-84,47
195,0,47-84-84,47-84,84
196,1,47-84-47,47-84,47
196,1,47-84-84,47-84,84
196,1,47-84-132,47-84,132
197,0,49-65-134,49-65,134
197,0,49-65-49,49-65,49
197,0,49-65-65,49-65,65
198,1,49-65-49,49-65,49
198,1,49-65-65,49-65,65
198,1,49-65-134,49-65,134
199,0,527-161-173,527-161,173
199,0,527-161-527,527-161,527
199,0,527-161-161,527-161,161
200,1,527-161-527,527-161,527
200,1,527-161-161,527-161,161
200,1,527-161-173,527-161,173
201,0,528-58-527,528-58,527
201,0,528-58-528,528-58,528
201,0,528-58-58,528-58,58
202,1,9-516-9,9-516,9
202,1,9-516-516,9-516,516
202,1,9-516-527,9-516,527
203,0,103-529-198,103-529,198
203,0,103-529-103,103-529,103
203,0,103-529-529,103-529,529
204,1,103-529-103,103-529,103
204,1,103-529-529,103-529,529
204,1,103-529-198,103-529,198
205,0,528-73-529,528-73,529
205,0,528-73-528,528-73,528
205,0,528-73-73,528-73,73
206,1,16-73-16,16-73,16
206,1,16-73-73,16-73,73
206,1,16-73-529,16-73,529
207,0,109-530-178,109-530,178
207,0,109-530-109,109-530,109
207,0,109-530-530,109-530,530
208,1,109-530-109,109-530,109
208,1,109-530-530,109-530,530
208,1,109-530-178,109-530,178
209,0,11-88-530,11-88,530
209,0,11-88-11,11-88,11
209,0,11-88-88,11-88,88
210,1,11-88-11,11-88,11
210,1,11-88-88,11-88,88
210,1,11-88-530,11-88,530
211,0,109-531-179,109-531,179
211,0,109-531-109,109-531,109
